Date,Time
231217,8:10
281217,8:00
301217,8:21
311217,7:57
020118,7:54
040118,8:05
050118,7:49
080118,7:52
120118,7:42
130118,7:49
160118,8:02
180118,8:05
200118,7:48
210118,7:46
220118,7:54
240118,7:47
260118,8:02
260118,7:47
280118,7:40
290118,8:00
300118,7:49
310118,7:48
020218,7:38
050218,7:43
090218,7:36
120218,7:42
170218,7:42
200218,7:52
260218,7:36
010318,7:36
040318,7:32
060318,7:29
120318,7:39
140318,7:37
170318,7:28
210318,7:36
240318,7:25
